Date,AAPL,AMZN,JPM,MSFT,XOM
2014-01-03,-0.022210474285238934,-0.0038519168555408954,0.0077007247943759434,-0.006750521962261548,-0.002409361090092806
2014-01-06,0.005437913796058128,-0.007113375515583215,0.005779160209346517,-0.021359033406950733,0.001506613154152088
2014-01-07,-0.00717676423148414,0.011116059171065328,-0.011592695852041566,0.007720097914822942,0.014048890119488927
2014-01-08,0.006312656753391122,0.009725682651672687,0.00938676632750949,-0.018013529726616257,-0.00327081337806223
2014-01-09,-0.012852325511953635,-0.00226668921924171,-0.0018701449975971685,-0.006452762323475443,-0.00977536621510109
2014-01-10,-0.006695139391590868,-0.008389068361873763,-0.004605325440865777,0.014252426235652326,0.007589498592254704
2014-01-13,0.005221751778143406,-0.016940942813231295,-0.013598748737843003,-0.029853270901731024,-0.019793104914956488
2014-01-14,0.019702437754634736,0.01663920179405737,0.0006929536608904609,0.022612579899833795,0.005767648343152278
2014-01-15,0.019878473398195803,-0.00420967863582884,0.029858190929443612,0.027021629811149608,-0.0034362726125938517
2014-01-16,-0.005595433647582557,-0.00017684058204954012,-0.008440232411863502,0.0035296374570702605,0.0016184694934811663
2014-01-17,-0.02480671372872037,0.009579955398884225,-0.015030188081107268,-0.01392111476373946,0.0022212173985991126
2014-01-21,0.015416781050260283,0.018447038174050297,0.0010318344625518574,-0.005789059038205723,-0.0066784480531976494
2014-01-22,0.004434031029937148,-0.0061854893343006225,-0.010020748851137818,-0.006657366049420393,-0.006314414728498077
2014-01-23,0.008431924159573253,-0.011611101596181023,-0.019639685983158656,0.0036114057230750415,-0.009340190120109894
2014-01-24,-0.018344648395365957,-0.031165645360523072,-0.024741365026660255,0.02058515373815681,-0.022104835314200457
2014-01-27,0.008079407006947502,-0.0034113842758354573,0.0,-0.021417247750660572,0.0007369105556366759
2014-01-28,-0.08330222268268293,0.020879252424284803,0.01172993136120572,0.006638887362170082,0.007661872116027942
2014-01-29,-0.011417817317097212,-0.02627850218540104,-0.0037745331300795184,0.01069504039868096,-0.005661488330075776
