Date,AAPL,AMZN,JPM,MSFT,XOM
2014-01-02,17.273225784301758,19.898500442504883,43.79194259643555,31.17683219909668,63.764259338378906
2014-01-03,16.893808364868164,19.82200050354004,44.13047409057617,30.96708106994629,63.61081314086914
2014-01-06,16.985925674438477,19.68149948120117,44.38624954223633,30.312667846679688,63.70672225952149
2014-01-07,16.864458084106445,19.901500701904297,43.87466430664063,30.547590255737305,64.60804748535156
2014-01-08,16.971254348754883,20.09600067138672,44.28844451904297,30.002246856689453,64.3970718383789
2014-01-09,16.75452995300293,20.050500869750977,44.20569610595703,29.80927276611328,63.770633697509766
2014-01-10,16.642730712890625,19.882999420166016,44.00258255004883,30.23716926574707,64.25646209716797
2014-01-13,16.729862213134766,19.548999786376957,43.40825271606445,29.34783172607422,62.99713134765625
2014-01-14,17.0627498626709,19.87700080871582,43.4383430480957,30.01902198791504,63.36152648925781
2014-01-15,17.405324935913086,19.793500900268555,44.75489044189453,30.841243743896484,63.14417266845703
2014-01-16,17.30820655822754,19.790000915527344,44.37873840332031,30.950294494628903,63.24645233154297
2014-01-17,16.88412857055664,19.980499267578125,43.716705322265625,30.522417068481445,63.38709259033203
2014-01-21,17.14644432067871,20.352500915527344,43.761837005615234,30.34623146057129,62.96517562866211
2014-01-22,17.222640991210938,20.226999282836918,43.32550048828125,30.14487648010254,62.56884002685547
2014-01-23,17.36847496032715,19.99349975585937,42.48290252685547,30.25393867492676,61.98715591430664
2014-01-24,17.05276107788086,19.3799991607666,41.4447135925293,30.883174896240234,60.63197326660156
2014-01-27,17.19109535217285,19.31399917602539,41.4447135925293,30.228775024414062,60.67667007446289
2014-01-28,15.817063331604004,19.72150039672852,41.933719635009766,30.43012809753418,61.14335250854492
2014-01-29,15.637494087219238,19.209999084472656,41.77573776245117,30.757326126098636,60.79816818237305
2014-01-30,15.607207298278809,20.15049934387207,42.12932968139648,30.925142288208008,60.08220672607422
2014-01-31,15.632820129394531,17.934499740600586,41.64785385131836,31.747337341308597,58.91240692138672
2014-02-03,15.66185474395752,17.3075008392334,40.85792541503906,30.60630989074707,57.5635986328125
2014-02-04,15.888578414916992,17.397499084472656,41.33939743041992,30.49725341796875,57.54442596435547
2014-02-05,16.00724220275879,17.322500228881836,41.535003662109375,30.05259323120117,57.263160705566406
2014-02-06,16.100540161132812,17.72949981689453,42.49043655395508,30.354616165161133,57.810359954833984
2014-02-07,16.32579231262207,18.054000854492188,42.59574508666992,30.67342758178711,58.31250762939453
2014-02-10,16.61826515197754,18.043500900268555,42.68604278564453,30.87479019165039,57.63010787963867
2014-02-11,16.837228775024414,18.089500427246094,43.20513534545898,31.18521881103516,58.479888916015625
2014-02-12,16.835975646972656,17.462499618530273,43.27284240722656,31.43692970275879,58.6343994140625
2014-02-13,17.103313446044922,17.860000610351562,43.656517028808594,31.55436897277832,58.85970306396485
2014-02-14,17.08948516845703,17.86750030517578,43.74678802490234,31.56275177001953,60.58500671386719
2014-02-18,17.15231704711914,17.6825008392334,44.00258255004883,31.630374908447266,60.55926513671875
