,AAPL,AMZN,JPM,MSFT,XOM
AAPL,1.0,0.543517239559219,0.4411634319707043,0.6732007504977608,0.32005394911859963
AMZN,0.543517239559219,1.0,0.30295680952542775,0.6207919619029029,0.20116187497226587
JPM,0.4411634319707043,0.30295680952542775,1.0,0.4627504213702087,0.5702093661462844
MSFT,0.6732007504977608,0.6207919619029029,0.4627504213702087,1.0,0.3102128104167134
XOM,0.32005394911859963,0.20116187497226587,0.5702093661462844,0.3102128104167134,1.0
